Category: All categories

Week,laptop: (United States)
2016-12-18,65
2016-12-25,73
2017-01-01,62
2017-01-08,64
2017-01-15,65
2017-01-22,60
2017-01-29,61
2017-02-05,58
2017-02-12,54
2017-02-19,59
2017-02-26,58
2017-03-05,57
2017-03-12,57
2017-03-19,56
2017-03-26,56
2017-04-02,53
2017-04-09,53
2017-04-16,53
2017-04-23,54
2017-04-30,57
2017-05-07,56
2017-05-14,54
2017-05-21,54
2017-05-28,55
2017-06-04,56
2017-06-11,54
2017-06-18,56
2017-06-25,56
2017-07-02,56
2017-07-09,65
2017-07-16,60
2017-07-23,61
2017-07-30,63
2017-08-06,64
2017-08-13,68
2017-08-20,64
2017-08-27,62
2017-09-03,59
2017-09-10,58
2017-09-17,60
2017-09-24,59
2017-10-01,56
2017-10-08,55
2017-10-15,55
2017-10-22,55
2017-10-29,56
2017-11-05,64
2017-11-12,66
2017-11-19,96
2017-11-26,85
2017-12-03,65
2017-12-10,66
2017-12-17,65
2017-12-24,69
2017-12-31,62
2018-01-07,62
2018-01-14,62
2018-01-21,62
2018-01-28,60
2018-02-04,61
2018-02-11,56
2018-02-18,59
2018-02-25,58
2018-03-04,59
2018-03-11,56
2018-03-18,55
2018-03-25,54
2018-04-01,58
2018-04-08,55
2018-04-15,52
2018-04-22,54
2018-04-29,53
2018-05-06,52
2018-05-13,54
2018-05-20,55
2018-05-27,56
2018-06-03,55
2018-06-10,55
2018-06-17,54
2018-06-24,54
2018-07-01,54
2018-07-08,54
2018-07-15,61
2018-07-22,60
2018-07-29,62
2018-08-05,65
2018-08-12,68
2018-08-19,66
2018-08-26,64
2018-09-02,60
2018-09-09,59
2018-09-16,56
2018-09-23,54
2018-09-30,53
2018-10-07,57
2018-10-14,52
2018-10-21,51
2018-10-28,55
2018-11-04,56
2018-11-11,61
2018-11-18,89
2018-11-25,80
2018-12-02,62
2018-12-09,61
2018-12-16,65
2018-12-23,65
2018-12-30,57
2019-01-06,59
2019-01-13,59
2019-01-20,59
2019-01-27,59
2019-02-03,56
2019-02-10,57
2019-02-17,55
2019-02-24,54
2019-03-03,54
2019-03-10,53
2019-03-17,53
2019-03-24,51
2019-03-31,52
2019-04-07,50
2019-04-14,48
2019-04-21,46
2019-04-28,50
2019-05-05,47
2019-05-12,50
2019-05-19,53
2019-05-26,51
2019-06-02,54
2019-06-09,52
2019-06-16,54
2019-06-23,53
2019-06-30,54
2019-07-07,55
2019-07-14,61
2019-07-21,60
2019-07-28,58
2019-08-04,60
2019-08-11,65
2019-08-18,68
2019-08-25,66
2019-09-01,60
2019-09-08,60
2019-09-15,57
2019-09-22,53
2019-09-29,57
2019-10-06,54
2019-10-13,53
2019-10-20,53
2019-10-27,53
2019-11-03,59
2019-11-10,62
2019-11-17,64
2019-11-24,89
2019-12-01,80
2019-12-08,62
2019-12-15,61
2019-12-22,65
2019-12-29,60
2020-01-05,60
2020-01-12,63
2020-01-19,62
2020-01-26,58
2020-02-02,59
2020-02-09,56
2020-02-16,57
2020-02-23,57
2020-03-01,54
2020-03-08,58
2020-03-15,91
2020-03-22,100
2020-03-29,97
2020-04-05,90
2020-04-12,93
2020-04-19,87
2020-04-26,84
2020-05-03,83
2020-05-10,82
2020-05-17,84
2020-05-24,75
2020-05-31,70
2020-06-07,73
2020-06-14,71
2020-06-21,68
2020-06-28,71
2020-07-05,71
2020-07-12,77
2020-07-19,82
2020-07-26,81
2020-08-02,85
2020-08-09,93
2020-08-16,94
2020-08-23,95
2020-08-30,93
2020-09-06,83
2020-09-13,81
2020-09-20,75
2020-09-27,70
2020-10-04,69
2020-10-11,83
2020-10-18,92
2020-10-25,81
2020-11-01,58
2020-11-08,77
2020-11-15,80
2020-11-22,92
2020-11-29,90
2020-12-06,73
2020-12-13,76
2020-12-20,72
2020-12-27,68
2021-01-03,74
2021-01-10,86
2021-01-17,76
2021-01-24,73
2021-01-31,70
2021-02-07,70
2021-02-14,69
2021-02-21,70
2021-02-28,65
2021-03-07,69
2021-03-14,67
2021-03-21,66
2021-03-28,61
2021-04-04,64
2021-04-11,63
2021-04-18,62
2021-04-25,64
2021-05-02,61
2021-05-09,62
2021-05-16,61
2021-05-23,62
2021-05-30,57
2021-06-06,62
2021-06-13,60
2021-06-20,63
2021-06-27,62
2021-07-04,61
2021-07-11,61
2021-07-18,59
2021-07-25,64
2021-08-01,67
2021-08-08,64
2021-08-15,70
2021-08-22,72
2021-08-29,68
2021-09-05,65
2021-09-12,66
2021-09-19,63
2021-09-26,60
2021-10-03,51
2021-10-10,50
2021-10-17,50
2021-10-24,49
2021-10-31,53
2021-11-07,55
2021-11-14,58
2021-11-21,71
2021-11-28,67
2021-12-05,52
2021-12-12,57
