Category: All categories

Week,computer: (United States)
2016-12-18,82
2016-12-25,87
2017-01-01,84
2017-01-08,92
2017-01-15,89
2017-01-22,92
2017-01-29,93
2017-02-05,85
2017-02-12,84
2017-02-19,86
2017-02-26,83
2017-03-05,87
2017-03-12,83
2017-03-19,82
2017-03-26,82
2017-04-02,86
2017-04-09,82
2017-04-16,81
2017-04-23,85
2017-04-30,82
2017-05-07,81
2017-05-14,77
2017-05-21,76
2017-05-28,75
2017-06-04,74
2017-06-11,72
2017-06-18,73
2017-06-25,74
2017-07-02,72
2017-07-09,77
2017-07-16,75
2017-07-23,75
2017-07-30,78
2017-08-06,80
2017-08-13,79
2017-08-20,82
2017-08-27,86
2017-09-03,84
2017-09-10,82
2017-09-17,84
2017-09-24,82
2017-10-01,81
2017-10-08,82
2017-10-15,79
2017-10-22,82
2017-10-29,83
2017-11-05,84
2017-11-12,86
2017-11-19,86
2017-11-26,88
2017-12-03,90
2017-12-10,88
2017-12-17,82
2017-12-24,80
2017-12-31,78
2018-01-07,88
2018-01-14,87
2018-01-21,89
2018-01-28,86
2018-02-04,83
2018-02-11,79
2018-02-18,82
2018-02-25,82
2018-03-04,81
2018-03-11,79
2018-03-18,79
2018-03-25,78
2018-04-01,78
2018-04-08,78
2018-04-15,77
2018-04-22,80
2018-04-29,75
2018-05-06,74
2018-05-13,75
2018-05-20,74
2018-05-27,71
2018-06-03,72
2018-06-10,72
2018-06-17,69
2018-06-24,71
2018-07-01,66
2018-07-08,70
2018-07-15,72
2018-07-22,73
2018-07-29,74
2018-08-05,76
2018-08-12,81
2018-08-19,80
2018-08-26,84
2018-09-02,79
2018-09-09,82
2018-09-16,81
2018-09-23,81
2018-09-30,77
2018-10-07,75
2018-10-14,73
2018-10-21,74
2018-10-28,72
2018-11-04,73
2018-11-11,76
2018-11-18,74
2018-11-25,84
2018-12-02,80
2018-12-09,79
2018-12-16,77
2018-12-23,69
2018-12-30,71
2019-01-06,77
2019-01-13,81
2019-01-20,75
2019-01-27,77
2019-02-03,76
2019-02-10,75
2019-02-17,74
2019-02-24,78
2019-03-03,73
2019-03-10,72
2019-03-17,71
2019-03-24,74
2019-03-31,73
2019-04-07,71
2019-04-14,69
2019-04-21,66
2019-04-28,70
2019-05-05,69
2019-05-12,70
2019-05-19,69
2019-05-26,65
2019-06-02,67
2019-06-09,68
2019-06-16,67
2019-06-23,67
2019-06-30,60
2019-07-07,63
2019-07-14,67
2019-07-21,64
2019-07-28,64
2019-08-04,66
2019-08-11,73
2019-08-18,75
2019-08-25,82
2019-09-01,74
2019-09-08,76
2019-09-15,77
2019-09-22,78
2019-09-29,75
2019-10-06,73
2019-10-13,73
2019-10-20,74
2019-10-27,72
2019-11-03,74
2019-11-10,73
2019-11-17,75
2019-11-24,71
2019-12-01,83
2019-12-08,79
2019-12-15,73
2019-12-22,68
2019-12-29,66
2020-01-05,77
2020-01-12,79
2020-01-19,78
2020-01-26,75
2020-02-02,72
2020-02-09,71
2020-02-16,73
2020-02-23,72
2020-03-01,72
2020-03-08,69
2020-03-15,87
2020-03-22,97
2020-03-29,97
2020-04-05,96
2020-04-12,89
2020-04-19,94
2020-04-26,88
2020-05-03,87
2020-05-10,86
2020-05-17,86
2020-05-24,76
2020-05-31,77
2020-06-07,77
2020-06-14,77
2020-06-21,76
2020-06-28,73
2020-07-05,74
2020-07-12,77
2020-07-19,80
2020-07-26,81
2020-08-02,85
2020-08-09,91
2020-08-16,100
2020-08-23,99
2020-08-30,97
2020-09-06,95
2020-09-13,92
2020-09-20,89
2020-09-27,84
2020-10-04,79
2020-10-11,79
2020-10-18,75
2020-10-25,77
2020-11-01,60
2020-11-08,80
2020-11-15,78
2020-11-22,77
2020-11-29,81
2020-12-06,82
2020-12-13,78
2020-12-20,71
2020-12-27,68
2021-01-03,77
2021-01-10,79
2021-01-17,77
2021-01-24,77
2021-01-31,78
2021-02-07,73
2021-02-14,73
2021-02-21,72
2021-02-28,76
2021-03-07,72
2021-03-14,70
2021-03-21,70
2021-03-28,65
2021-04-04,65
2021-04-11,71
2021-04-18,68
2021-04-25,66
2021-05-02,67
2021-05-09,69
2021-05-16,67
2021-05-23,66
2021-05-30,62
2021-06-06,63
2021-06-13,62
2021-06-20,62
2021-06-27,61
2021-07-04,60
2021-07-11,64
2021-07-18,62
2021-07-25,63
2021-08-01,63
2021-08-08,62
2021-08-15,68
2021-08-22,72
2021-08-29,69
2021-09-05,69
2021-09-12,72
2021-09-19,67
2021-09-26,67
2021-10-03,59
2021-10-10,52
2021-10-17,53
2021-10-24,53
2021-10-31,55
2021-11-07,55
2021-11-14,54
2021-11-21,50
2021-11-28,56
2021-12-05,54
2021-12-12,53
