Category: All categories

Week,covid: (United States)
2016-12-25,0
2017-01-01,0
2017-01-08,<1
2017-01-15,0
2017-01-22,0
2017-01-29,0
2017-02-05,0
2017-02-12,<1
2017-02-19,0
2017-02-26,<1
2017-03-05,0
2017-03-12,0
2017-03-19,<1
2017-03-26,<1
2017-04-02,0
2017-04-09,<1
2017-04-16,0
2017-04-23,0
2017-04-30,0
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,0
2017-06-11,0
2017-06-18,<1
2017-06-25,0
2017-07-02,0
2017-07-09,0
2017-07-16,<1
2017-07-23,0
2017-07-30,0
2017-08-06,0
2017-08-13,<1
2017-08-20,0
2017-08-27,0
2017-09-03,<1
2017-09-10,0
2017-09-17,0
2017-09-24,<1
2017-10-01,<1
2017-10-08,0
2017-10-15,<1
2017-10-22,0
2017-10-29,<1
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,<1
2017-12-17,<1
2017-12-24,0
2017-12-31,0
2018-01-07,<1
2018-01-14,0
2018-01-21,0
2018-01-28,0
2018-02-04,<1
2018-02-11,0
2018-02-18,0
2018-02-25,0
2018-03-04,0
2018-03-11,<1
2018-03-18,0
2018-03-25,<1
2018-04-01,0
2018-04-08,0
2018-04-15,0
2018-04-22,0
2018-04-29,0
2018-05-06,<1
2018-05-13,0
2018-05-20,0
2018-05-27,<1
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,0
2018-07-01,0
2018-07-08,0
2018-07-15,<1
2018-07-22,0
2018-07-29,0
2018-08-05,0
2018-08-12,0
2018-08-19,0
2018-08-26,0
2018-09-02,<1
2018-09-09,0
2018-09-16,0
2018-09-23,0
2018-09-30,0
2018-10-07,0
2018-10-14,0
2018-10-21,<1
2018-10-28,0
2018-11-04,0
2018-11-11,<1
2018-11-18,<1
2018-11-25,0
2018-12-02,<1
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,0
2019-01-20,0
2019-01-27,0
2019-02-03,<1
2019-02-10,0
2019-02-17,0
2019-02-24,0
2019-03-03,0
2019-03-10,0
2019-03-17,0
2019-03-24,<1
2019-03-31,0
2019-04-07,0
2019-04-14,0
2019-04-21,0
2019-04-28,<1
2019-05-05,0
2019-05-12,0
2019-05-19,0
2019-05-26,0
2019-06-02,<1
2019-06-09,0
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,<1
2019-07-14,<1
2019-07-21,0
2019-07-28,<1
2019-08-04,0
2019-08-11,0
2019-08-18,<1
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,<1
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,<1
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,<1
2020-02-16,<1
2020-02-23,2
2020-03-01,6
2020-03-08,29
2020-03-15,73
2020-03-22,90
2020-03-29,92
2020-04-05,78
2020-04-12,63
2020-04-19,59
2020-04-26,56
2020-05-03,53
2020-05-10,52
2020-05-17,50
2020-05-24,46
2020-05-31,37
2020-06-07,42
2020-06-14,49
2020-06-21,64
2020-06-28,75
2020-07-05,76
2020-07-12,82
2020-07-19,69
2020-07-26,68
2020-08-02,60
2020-08-09,54
2020-08-16,50
2020-08-23,46
2020-08-30,48
2020-09-06,40
2020-09-13,39
2020-09-20,41
2020-09-27,53
2020-10-04,57
2020-10-11,47
2020-10-18,51
2020-10-25,56
2020-11-01,45
2020-11-08,79
2020-11-15,100
2020-11-22,74
2020-11-29,76
2020-12-06,86
2020-12-13,85
2020-12-20,82
2020-12-27,86
2021-01-03,85
2021-01-10,92
2021-01-17,86
2021-01-24,85
2021-01-31,75
2021-02-07,74
2021-02-14,64
2021-02-21,69
2021-02-28,82
2021-03-07,89
2021-03-14,79
2021-03-21,78
2021-03-28,79
2021-04-04,76
2021-04-11,62
2021-04-18,55
2021-04-25,61
2021-05-02,48
2021-05-09,48
2021-05-16,43
2021-05-23,37
2021-05-30,32
2021-06-06,31
2021-06-13,30
2021-06-20,29
2021-06-27,28
2021-07-04,30
2021-07-11,35
2021-07-18,49
2021-07-25,61
2021-08-01,90
2021-08-08,82
2021-08-15,86
2021-08-22,86
2021-08-29,89
2021-09-05,69
2021-09-12,63
2021-09-19,55
2021-09-26,50
2021-10-03,39
2021-10-10,34
2021-10-17,32
2021-10-24,33
2021-10-31,35
2021-11-07,36
2021-11-14,38
2021-11-21,38
2021-11-28,47
2021-12-05,39
2021-12-12,47
