Category: All categories

Week,MacBook: (United States)
2016-12-18,73
2016-12-25,91
2017-01-01,73
2017-01-08,71
2017-01-15,70
2017-01-22,65
2017-01-29,69
2017-02-05,64
2017-02-12,63
2017-02-19,62
2017-02-26,60
2017-03-05,62
2017-03-12,62
2017-03-19,59
2017-03-26,62
2017-04-02,61
2017-04-09,58
2017-04-16,59
2017-04-23,61
2017-04-30,58
2017-05-07,57
2017-05-14,57
2017-05-21,58
2017-05-28,60
2017-06-04,68
2017-06-11,61
2017-06-18,61
2017-06-25,60
2017-07-02,61
2017-07-09,66
2017-07-16,66
2017-07-23,69
2017-07-30,70
2017-08-06,73
2017-08-13,72
2017-08-20,73
2017-08-27,75
2017-09-03,67
2017-09-10,66
2017-09-17,62
2017-09-24,66
2017-10-01,59
2017-10-08,59
2017-10-15,60
2017-10-22,61
2017-10-29,59
2017-11-05,66
2017-11-12,67
2017-11-19,86
2017-11-26,81
2017-12-03,72
2017-12-10,67
2017-12-17,66
2017-12-24,80
2017-12-31,65
2018-01-07,67
2018-01-14,67
2018-01-21,68
2018-01-28,65
2018-02-04,62
2018-02-11,60
2018-02-18,60
2018-02-25,60
2018-03-04,59
2018-03-11,58
2018-03-18,60
2018-03-25,57
2018-04-01,58
2018-04-08,57
2018-04-15,59
2018-04-22,59
2018-04-29,57
2018-05-06,56
2018-05-13,57
2018-05-20,58
2018-05-27,61
2018-06-03,60
2018-06-10,61
2018-06-17,60
2018-06-24,63
2018-07-01,57
2018-07-08,74
2018-07-15,75
2018-07-22,75
2018-07-29,73
2018-08-05,72
2018-08-12,76
2018-08-19,76
2018-08-26,76
2018-09-02,69
2018-09-09,72
2018-09-16,69
2018-09-23,68
2018-09-30,65
2018-10-07,62
2018-10-14,62
2018-10-21,57
2018-10-28,74
2018-11-04,72
2018-11-11,72
2018-11-18,84
2018-11-25,81
2018-12-02,69
2018-12-09,64
2018-12-16,68
2018-12-23,74
2018-12-30,64
2019-01-06,62
2019-01-13,61
2019-01-20,65
2019-01-27,64
2019-02-03,63
2019-02-10,58
2019-02-17,61
2019-02-24,59
2019-03-03,55
2019-03-10,54
2019-03-17,53
2019-03-24,55
2019-03-31,55
2019-04-07,53
2019-04-14,53
2019-04-21,52
2019-04-28,55
2019-05-05,50
2019-05-12,53
2019-05-19,58
2019-05-26,55
2019-06-02,63
2019-06-09,57
2019-06-16,61
2019-06-23,60
2019-06-30,57
2019-07-07,63
2019-07-14,70
2019-07-21,63
2019-07-28,67
2019-08-04,65
2019-08-11,74
2019-08-18,79
2019-08-25,78
2019-09-01,68
2019-09-08,70
2019-09-15,66
2019-09-22,67
2019-09-29,57
2019-10-06,61
2019-10-13,60
2019-10-20,57
2019-10-27,59
2019-11-03,60
2019-11-10,74
2019-11-17,66
2019-11-24,80
2019-12-01,76
2019-12-08,65
2019-12-15,63
2019-12-22,74
2019-12-29,61
2020-01-05,61
2020-01-12,63
2020-01-19,64
2020-01-26,59
2020-02-02,58
2020-02-09,56
2020-02-16,58
2020-02-23,58
2020-03-01,55
2020-03-08,55
2020-03-15,83
2020-03-22,92
2020-03-29,92
2020-04-05,86
2020-04-12,96
2020-04-19,91
2020-04-26,89
2020-05-03,94
2020-05-10,87
2020-05-17,87
2020-05-24,81
2020-05-31,73
2020-06-07,76
2020-06-14,77
2020-06-21,76
2020-06-28,76
2020-07-05,78
2020-07-12,76
2020-07-19,79
2020-07-26,86
2020-08-02,92
2020-08-09,98
2020-08-16,100
2020-08-23,99
2020-08-30,93
2020-09-06,84
2020-09-13,83
2020-09-20,77
2020-09-27,69
2020-10-04,66
2020-10-11,66
2020-10-18,64
2020-10-25,60
2020-11-01,46
2020-11-08,77
2020-11-15,80
2020-11-22,78
2020-11-29,77
2020-12-06,69
2020-12-13,69
2020-12-20,75
2020-12-27,72
2021-01-03,71
2021-01-10,71
2021-01-17,68
2021-01-24,70
2021-01-31,67
2021-02-07,62
2021-02-14,65
2021-02-21,64
2021-02-28,58
2021-03-07,59
2021-03-14,57
2021-03-21,58
2021-03-28,54
2021-04-04,53
2021-04-11,56
2021-04-18,56
2021-04-25,57
2021-05-02,53
2021-05-09,55
2021-05-16,57
2021-05-23,55
2021-05-30,55
2021-06-06,61
2021-06-13,56
2021-06-20,60
2021-06-27,56
2021-07-04,56
2021-07-11,56
2021-07-18,57
2021-07-25,61
2021-08-01,64
2021-08-08,65
2021-08-15,71
2021-08-22,70
2021-08-29,68
2021-09-05,67
2021-09-12,69
2021-09-19,65
2021-09-26,59
2021-10-03,52
2021-10-10,49
2021-10-17,67
2021-10-24,58
2021-10-31,55
2021-11-07,56
2021-11-14,56
2021-11-21,68
2021-11-28,64
2021-12-05,53
2021-12-12,53
